Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,,,#date+year,#indicator+type,#indicator+value+num,,
SGP,2000-01-01,2000-01-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2000,2000,,70.863788,I,base year is 2015
SGP,2001-01-01,2001-01-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2001,2001,,72.541403,I,base year is 2015
SGP,2002-01-01,2002-01-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2002,2002,,71.617952,I,base year is 2015
SGP,2003-01-01,2003-01-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2003,2003,,72.373365,I,base year is 2015
SGP,2004-01-01,2004-01-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2004,2004,,72.985302,I,base year is 2015
SGP,2005-01-01,2005-01-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2005,2005,,72.203736,X,base year is 2015
SGP,2006-01-01,2006-01-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2006,2006,,74.462823,X,base year is 2015
SGP,2007-01-01,2007-01-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2007,2007,,75.929956,X,base year is 2015
SGP,2008-01-01,2008-01-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2008,2008,,81.212483,X,base year is 2015
SGP,2009-01-01,2009-01-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2009,2009,,87.233884,X,base year is 2015
SGP,2010-01-01,2010-01-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2010,2010,,86.811367,X,base year is 2015
SGP,2011-01-01,2011-01-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2011,2011,,90.962227,X,base year is 2015
SGP,2012-01-01,2012-01-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2012,2012,,95.117334,X,base year is 2015
SGP,2013-01-01,2013-01-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2013,2013,,95.435814,X,base year is 2015
SGP,2014-01-01,2014-01-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2014,2014,,98.841430,X,base year is 2015
SGP,2015-01-01,2015-01-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2015,2015,,100.433832,X,base year is 2015
SGP,2016-01-01,2016-01-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2016,2016,,101.916889,X,base year is 2015
SGP,2017-01-01,2017-01-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2017,2017,,103.912699,X,base year is 2015
SGP,2018-01-01,2018-01-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2018,2018,,104.631403,X,base year is 2015
SGP,2019-01-01,2019-01-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2019,2019,,106.025285,X,base year is 2015
SGP,2020-01-01,2020-01-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2020,2020,,107.920243,X,base year is 2015
SGP,2021-01-01,2021-01-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2021,2021,,110.106079,X,base year is 2015
SGP,2022-01-01,2022-01-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2022,2022,,113.975615,X,base year is 2015
SGP,2023-01-01,2023-01-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2023,2023,,122.184976,X,base year is 2015
SGP,2000-02-01,2000-02-29,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2000,2000,,71.282613,I,base year is 2015
SGP,2001-02-01,2001-02-28,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2001,2001,,72.373365,I,base year is 2015
SGP,2002-02-01,2002-02-28,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2002,2002,,71.869618,I,base year is 2015
SGP,2003-02-01,2003-02-28,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2003,2003,,72.205388,I,base year is 2015
SGP,2004-02-01,2004-02-29,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2004,2004,,73.948270,I,base year is 2015
SGP,2005-02-01,2005-02-28,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2005,2005,,72.774877,X,base year is 2015
SGP,2006-02-01,2006-02-28,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2006,2006,,73.273830,X,base year is 2015
SGP,2007-02-01,2007-02-28,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2007,2007,,76.391752,X,base year is 2015
SGP,2008-02-01,2008-02-29,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2008,2008,,82.527806,X,base year is 2015
SGP,2009-02-01,2009-02-28,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2009,2009,,86.603293,X,base year is 2015
SGP,2010-02-01,2010-02-28,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2010,2010,,88.275315,X,base year is 2015
SGP,2011-02-01,2011-02-28,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2011,2011,,91.565216,X,base year is 2015
SGP,2012-02-01,2012-02-29,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2012,2012,,93.232992,X,base year is 2015
SGP,2013-02-01,2013-02-28,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2013,2013,,96.440089,X,base year is 2015
SGP,2014-02-01,2014-02-28,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2014,2014,,97.892359,X,base year is 2015
SGP,2015-02-01,2015-02-28,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2015,2015,,101.024082,X,base year is 2015
SGP,2016-02-01,2016-02-29,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2016,2016,,102.584636,X,base year is 2015
SGP,2017-02-01,2017-02-28,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2017,2017,,103.647298,X,base year is 2015
SGP,2018-02-01,2018-02-28,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2018,2018,,105.203606,X,base year is 2015
SGP,2019-02-01,2019-02-28,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2019,2019,,106.200449,X,base year is 2015
SGP,2020-02-01,2020-02-29,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2020,2020,,108.110269,X,base year is 2015
SGP,2021-02-01,2021-02-28,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2021,2021,,110.892726,X,base year is 2015
SGP,2022-02-01,2022-02-28,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2022,2022,,113.131642,X,base year is 2015
SGP,2023-02-01,2023-02-28,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2023,2023,,121.572433,X,base year is 2015
SGP,2000-03-01,2000-03-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2000,2000,,71.031272,I,base year is 2015
SGP,2001-03-01,2001-03-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2001,2001,,72.541403,I,base year is 2015
SGP,2002-03-01,2002-03-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2002,2002,,71.785714,I,base year is 2015
SGP,2003-03-01,2003-03-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2003,2003,,72.457376,I,base year is 2015
SGP,2004-03-01,2004-03-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2004,2004,,73.335243,I,base year is 2015
SGP,2005-03-01,2005-03-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2005,2005,,71.890564,X,base year is 2015
SGP,2006-03-01,2006-03-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2006,2006,,72.923501,X,base year is 2015
SGP,2007-03-01,2007-03-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2007,2007,,74.813151,X,base year is 2015
SGP,2008-03-01,2008-03-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2008,2008,,82.174293,X,base year is 2015
SGP,2009-03-01,2009-03-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2009,2009,,86.566137,X,base year is 2015
SGP,2010-03-01,2010-03-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2010,2010,,87.675510,X,base year is 2015
SGP,2011-03-01,2011-03-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2011,2011,,90.626761,X,base year is 2015
SGP,2012-03-01,2012-03-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2012,2012,,93.014302,X,base year is 2015
SGP,2013-03-01,2013-03-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2013,2013,,94.912445,X,base year is 2015
SGP,2014-03-01,2014-03-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2014,2014,,97.939069,X,base year is 2015
SGP,2015-03-01,2015-03-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2015,2015,,99.890292,X,base year is 2015
SGP,2016-03-01,2016-03-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2016,2016,,102.156810,X,base year is 2015
