Period,All Items,Food,Food Excl Food Serving Services,Bread & Cereals,Rice,Flour,Bread,Noodles & Pasta,Biscuits & Cookies,Cakes & Pastries,Other Cereals,Meat,"Pork, Chilled","Beef, Chilled","Mutton, Chilled","Poultry, Chilled","Meat, Frozen",Meat Preparations,Fish & Seafood,"Fish, Chilled","Fish, Frozen",Other Seafood,Seafood Preparations,"Milk, Cheese & Eggs",Formula Milk Powder,Other Milk & Dairy Products,Eggs,Oils & Fats,Butter & Other Fats,Cooking Oils,Fruits,"Tropical Fruits, Fresh","Citrus, Berries & Other Fruits, Fresh",Preserved Fruits & Nuts,Vegetables,"Leafy Vegetables, Fresh","Fruit Vegetables, Fresh","Root Vegetables, Fresh",Other Vegetables & Preparations,"Sugar, Preserves & Confectionery",Sugar,Confectionery & Ice-cream,Sugar Preserves & Spread,Non-alcoholic Beverages,Coffee & Tea,Soft Drinks,Other Beverages,Other Food,Food Serving Services,Restaurant Food,Fast Food,Hawker Food,Hawker Centres,Food Courts & Coffee Shops,Catered Food,Clothing & Footwear,Clothing,Men's Clothing,Women's Clothing,Children's Clothing,Other Articles & Related Services,Footwear,Men's Footwear,Women's Footwear,Children's Footwear,Housing & Utilities,Accommodation3,Utilities & Other Fuels,Water Supply,Refuse Collection,Electricity,Gas,Household Durables & Services,Household Durables,Furniture,Furnishings,Other Household Textiles,Household Appliances,Utensils & Others,Household Services & Supplies,Non-durable Household Goods,Domestic & Household Services,Health Care,Medicines & Health Products,Medicines & Vitamins,Medical Products,Outpatient Services,Fees At Polyclinics,Fees At General Practitioners (GP) Clinics,Fees At Specialist Outpatient Clinics,Dental Services,Paramedical Services,Hospital Services,Health Insurance,Transport,Private Transport,Cars,Motorcycles,Petrol,Other Private Transport,Public Transport,Bus & Train Fares,Point-to-point Transport Services2,Other Public Transport,Other Transport Services,Air Fares,Other Transport,Communication,Postage & Courier Services,Telecommunication Equipment,Telecommunication Services,Recreation & Culture,Recreational & Cultural Goods,Information Processing Equipment,Audio-visual Equipment & Others,Games & Toys,Pets & Related Products,Other Recreational & Cultural Goods,Recreational & Cultural Services,Sport Services & Other Fees,Cinema Tickets,Charges To Places Of Interest,Other Recreational & Cultural Services,"Newspapers, Books & Stationery",Newspapers & Magazines,Books & Stationery,Holiday Expenses,Package Tours,Hotels & Other Expenses,Education,Tuition & Other Fees,Primary Education,Secondary Education,"Other General, Vocational & Higher Education",Enrichment & Supplementary Courses,Textbooks & Study Guides,Miscellaneous Goods & Services,Personal Care,Hairdressing,Personal Grooming Services,Other Personal Care,Alcoholic Drinks & Tobacco,Spirits & Wine,Beer,Cigarettes,Personal Effects,Jewellery & Watches,Other Personal Effects,Social Services,Other Miscellaneous Services,All Items Less Imputed Rentals On Owner-occupied Accommodation3,All Items Less Accommodation3
2014 Q1,99.58,91.417,92.525,93.498,93.882,101.517,93.209,101.033,90.78,91.042,98.375,96.837,96.449,93.323,91.694,97.052,104.609,94.862,89.608,86.884,80.633,95.409,92.244,92.183,87.236,96.301,94.073,96.593,88.734,100.638,88.187,83.945,90.296,92.811,91.682,89.526,92.741,87.837,96.131,93.751,96.524,93.945,91.356,95.68,96.752,96.318,94.102,91.839,90.811,90.183,92.621,91.008,0,0,90.762,99.08,99.729,100.569,100.086,95.959,98.017,97.169,94.18,99.758,97.465,114.62,116.681,102.299,75.744,75.032,119.172,104.924,95.552,99.444,96.912,100.65,101.029,101.702,99.35,93.374,100.992,91.93,92.788,99.362,98.897,101.027,95.546,177.381,97.008,91.916,97.092,87.313,85.409,97.492,102.023,103.167,115.323,90.174,94.774,91.987,97.597,98.134,99.318,87.927,102.564,102.677,99.93,101.002,93.63,118.932,100.249,96.382,103.816,104.773,118.325,99.68,97.323,95.87,95.938,93.598,95.432,101.92,97.999,92.137,87.548,95.801,94.641,95.196,92.5,85.922,85.759,104,103.788,85.596,81.823,98.471,97.517,100.81,96.56,99.15,102.962,89.65,104.676,99.41,85.664,98.871,100.56,98.489,94.043,97.549,95.811,95.382
2014 Q2,99.509,91.823,92.685,94.03,95.773,102.692,93.134,100.584,92.454,91.536,97.192,96.376,95.495,92.994,91.687,96.413,104.446,95.025,87.082,84.677,81.197,89.017,92.435,93.681,90.592,96.65,93.431,97.812,90.085,101.789,90.212,85.316,92.987,94.352,91.647,92.161,86.696,88.516,96.602,94.331,97.114,94.755,90.95,96.441,96.991,96.823,95.585,92.987,91.352,90.133,93.243,91.885,0,0,92.246,98.726,99.218,100.948,98.281,99.914,99.358,96.975,94.951,98.706,97.45,113.586,115.464,102.36,75.744,75.032,119.519,103.626,96.2,100.866,97.202,99.002,102.541,104.996,99.953,93.589,101.153,92.155,93.662,99.772,99.334,101.337,96.2,178.066,97.025,93.125,98.104,87.309,86.94,97.533,101.507,102.013,111.712,101.315,96.459,91.799,99.235,101.057,99.326,87.798,102.526,102.638,99.93,100.963,93.63,118.697,100.218,96.448,103.753,104.919,117.832,100.054,96.573,95.905,96.219,93.471,98.237,101.029,98.059,92.183,87.626,95.822,94.606,95.742,90.219,86.113,85.952,104,103.788,85.754,82.118,98.471,98.66,100.81,96.456,98.807,103.139,94.958,107.345,108.25,90.94,98.651,100.56,98.22,94.043,97.567,95.813,95.592
2014 Q3,99.503,92.223,93.193,94.177,95.561,100.796,93.133,99.363,92.923,92.377,97.291,96.545,96.062,93.339,91.935,96.12,104.656,95.075,89.065,87.812,82.88,90.454,91.751,94.391,92.323,96.143,95.072,97.621,89.333,101.887,89.443,87.465,89.59,94.523,92.417,91.969,90.462,89.757,96.119,94.993,97.303,95.424,91.849,96.685,97.581,96.488,96.045,93.23,91.692,90.33,93.645,92.314,0,0,92.246,98.129,99.217,101.182,97.787,101.862,98.095,94.561,94.252,94.177,97.241,113.339,115.187,102.293,75.744,75.032,119.303,104.143,96.712,102.123,98.517,98.519,106.36,106.114,99.695,93.684,101.264,92.248,94.308,100.471,100.259,101.229,96.172,176.11,95.651,94.139,97.221,87.485,88.342,97.417,100.827,101.118,110.042,102.692,95.757,91.824,99.322,101.21,99.328,87.798,101.925,102.038,99.291,101.345,93.63,114.336,100.812,95.898,103.541,104.092,117.116,100.559,96.211,96.178,95.998,93.68,95.59,97.756,98.724,92.189,87.626,95.833,93.619,95.489,86.407,86.659,86.503,104,103.788,86.673,82.172,98.694,98.743,100.923,96.445,99.186,103.184,94.472,104.341,107.431,90.94,99.127,100.455,98.827,95.382,97.861,95.946,95.653
2014 Q4,99.341,92.773,93.831,94.779,96.845,101.53,93.284,100.339,94.753,92.191,98.788,97.069,96.155,94.488,91.933,96.11,106.254,96.103,88.6,86.376,83.767,91.053,92.828,95.833,92.79,96.49,103.736,99.703,92.135,103.598,91.29,86.579,94.244,94.284,92.939,91.503,91.675,91.45,96.511,94.478,99.247,94.098,93.41,96.869,97.676,96.663,96.317,94.487,92.195,91.229,94.106,92.587,0,0,92.246,97.937,98.913,101.231,97.384,101.23,97.742,94.769,94.218,94.507,97.985,112.523,114.433,101.108,75.744,75.032,117.435,102.471,96.635,101.796,98.507,99.253,106.732,104.64,100.193,93.747,101.538,92.271,93.799,100.641,100.426,101.41,94.171,172.198,91.771,92.511,94.587,87.295,88.699,97.417,99.934,99.427,110.577,103.391,88.219,91.265,99.35,101.21,99.318,88.137,106.124,106.458,98.386,102.392,100.018,119.802,101.632,96.293,103.087,104.092,116.059,99.52,96.451,96.103,95.586,94.234,92.706,95.987,98.259,93.919,87.626,98.944,94.694,96.655,87.13,86.993,86.84,104,103.788,87.252,82.179,98.806,98.388,100.474,96.445,99.181,102.4,94.515,104.93,107.093,90.94,97.991,101.375,97.227,96.051,97.804,95.931,95.636
2015 Q1,99.258,93.481,94.621,95.162,94.662,99.857,94.592,99.661,94.486,93.914,98.902,97.737,97.233,94.939,91.879,96.837,105.129,97.202,92.204,90.661,85.459,96.515,92.814,95.611,92.84,95.56,105.137,97.782,90.343,101.612,91.298,88.174,93.099,93.832,94.354,93.04,96.312,90.769,97.025,93.423,98.871,92.795,93.032,96.377,97.193,96.149,95.84,94.502,92.858,92.13,94.836,93.116,0,0,92.008,98.057,98.605,101.008,97.106,100.57,98.498,96.163,94.258,97.641,96.21,111.702,114.275,96.324,75.744,90.722,108.188,96.201,97.099,101.709,98.675,99.121,107.633,104.11,99.683,94.519,101.041,93.283,92.965,100.729,100.589,101.234,90.732,94.266,92.145,89.776,94.916,87.912,89.539,97.417,98.789,98.077,110.04,111.374,82.275,91.9,99.733,101.21,99.318,92.273,103.03,103.25,97.93,102.583,100.018,117.386,101.94,96.487,103.395,104.092,115.128,101.159,97.058,96.447,96.383,94.03,98.237,96.9,98.532,93.983,87.626,99.059,94.443,95.838,89.061,88.81,88.681,104,103.235,88.644,85.279,98.772,98.274,100.327,97.337,99.181,101.831,94.417,103.347,108.158,90.94,97.654,101.991,96.676,96.708,97.882,95.991,95.572
2015 Q2,99.093,93.611,93.899,95.585,95.225,101.392,95.021,100.278,94.65,94.538,98.103,97.625,96.721,95.114,94.2,96.857,104.958,97.151,88.431,86.713,86.813,89.342,92.496,95.288,94.152,95.921,96.845,99.264,91.67,103.173,90.336,85.367,92.91,95.383,92.906,93.079,89.853,89.875,96.891,95.51,98.96,95.673,92.86,96.61,97.1,96.892,95.899,95.157,93.453,92.968,94.813,93.636,0,0,92.114,98.116,98.419,100.893,96.789,100.886,97.183,97.322,94.16,100.038,96.588,109.272,112.533,89.78,75.744,90.722,96.944,92.115,95.522,101.293,98.064,99.497,106.401,104.253,99.16,92.293,101.318,90.583,93.405,100.613,100.452,101.192,91.581,95.572,93.371,90.739,95.664,88.179,90.022,97.417,101.614,102.066,112.768,123.152,93.331,91.929,101.385,103.941,99.711,92.022,97.993,98.052,96.622,101.952,100.018,116.752,101.305,96.353,103.439,104.092,114.999,100.984,96.965,97.005,96.53,94.223,98.237,94.338,99.143,94.023,87.667,99.098,94.02,94.968,90.363,88.816,88.687,100,97.395,88.673,86.414,98.772,98.396,100.547,97.337,99.371,102.14,94.583,104.837,107.852,90.94,97.261,101.921,96.211,97.036,98.029,95.987,95.794
2015 Q3,98.88,93.926,93.9,95.03,93.655,100.577,95.06,97.068,93.898,94.958,97.057,96.498,95.674,96.729,94.326,94.742,103.977,95.954,89.761,88.557,86.311,91.941,91.265,95.9,96.344,95.923,94.319,96.384,90.668,99.326,91.441,87.315,94.154,93.619,92.414,91.56,91.732,90.55,95.167,96.137,92.517,97.437,92.625,96.293,97.317,95.429,96.153,94.446,93.939,93.998,94.984,93.832,0,0,92.085,98.827,99.228,102.43,97.206,101.967,98.229,97.64,94.369,100.045,99.326,109.274,111.897,93.591,75.744,90.722,104.108,91.096,94.844,101.548,98.966,99.315,105.838,104.832,98.104,91.092,99.844,89.434,94.247,101.261,101.184,101.539,92.405,96.753,93.605,91.789,96.097,89.35,91.18,97.417,99.377,99.028,108.794,121.941,92.375,88.596,101.005,103.123,99.788,92.62,98.516,98.533,98.106,100.688,100.018,117.09,99.963,96.328,103.515,104.091,114.471,101.255,97.029,97.567,95.925,93.825,98.535,85.874,99.304,93.854,87.177,99.187,94.389,95.275,90.972,89.78,89.652,100,97.395,89.541,87.767,99.617,98.424,100.667,97.365,99.371,102.342,94.342,103.292,107.516,90.94,97.262,101.427,96.322,97.837,98.04,95.949,95.685
2015 Q4,98.621,94.313,94.373,95.557,95.029,101.136,95.358,99.338,93.603,94.771,98.792,97.508,97.244,95.474,94.124,96.03,105.012,96.71,89.153,87.487,88.38,90.972,92.082,96.659,96.857,96.41,96.882,96.333,89.483,99.859,92.55,87.645,95.953,94.517,92.488,91.195,90.851,91.415,95.861,95.904,95.574,96.746,92.488,97.605,97.175,98.062,97.579,95.317,94.279,94.345,95.222,94.184,0,0,92.085,99.112,99.384,102.865,97.321,101.68,99.848,98.06,95.586,99.828,99.614,107.746,110.996,88.315,75.744,90.722,94.512,90.725,95.292,101.861,100.076,98.405,105.259,104.454,98.776,91.616,99.367,90.147,93.624,100.986,100.928,101.2,92.559,96.753,93.081,91.978,96.198,90.148,89.501,97.417,98.702,97.716,107.645,122.504,89.433,88.236,101.502,103.956,99.859,92.648,100.801,101.015,95.833,101.841,100.018,121.525,100.977,97.122,103.136,104.091,114.08,100.214,96.28,97.67,96.847,94.934,98.535,88.179,100.096,94.024,87.56,99.187,95.606,96.608,91.743,90.173,90.05,100,97.395,89.997,88.159,99.617,98.042,99.897,97.365,99.466,100.951,94.045,101.459,107.019,90.94,97.595,101.977,96.607,98.237,98.13,95.847,95.583
2016 Q1,98.422,95.315,96.288,96.276,95.228,101.189,96.077,99.775,95.932,95.105,100.165,99.602,100.617,97.251,94.016,99.804,103.719,97.278,94.354,93.111,91.597,98.638,93.787,96.984,97.166,97.018,96.253,97.933,90.842,101.583,93.466,89.743,95.634,96.416,95.849,98.35,92.128,94.591,96.345,96.606,95.9,97.338,93.879,97.248,97.75,97.038,96.981,96.43,94.783,95.011,95.766,94.595,0,0,92.085,100.15,100.528,103.856,98.505,102.978,99.578,99.031,98.049,99.865,98.83,107.133,110.662,86.039,75.744,90.722,90.605,89.274,96.349,101.829,99.823,97.114,105.358,104.583,98.936,93.283,99.493,92.106,93.62,100.567,100.508,100.784,93.225,96.791,93.998,92.257,96.582,91.57,89.026,97.851,95.914,94.249,102.972,125.835,83.35,88.355,100.852,102.137,100,96.19,98.923,98.987,97.431,101.438,100.018,120.322,100.607,96.921,103.007,104.091,112.982,100.179,96.627,98.033,96.983,95.836,94.848,92.339,99.996,95.993,91.965,99.209,94.825,95.861,90.825,91,90.882,100,97.475,90.38,89.938,100.006,98.732,100.658,97.495,99.466,102.24,94.397,103.441,107.854,90.94,99.175,101.418,98.669,98.735,98.217,95.824,95.418
2016 Q2,98.179,95.646,96.269,96.577,95.331,104.261,96.744,100.327,96.542,95.083,99.554,99.085,99.882,96.764,94.206,98.995,102.59,97.595,92.905,91.221,91.298,95.118,95.565,97.561,98.67,96.711,96.876,97.108,91.036,100.233,93.46,90.016,95.334,96.646,97.42,99.082,96.347,96.202,97.057,96.651,97.067,97.41,93.174,96.82,98.001,95.218,97.219,96.734,95.306,95.359,97.421,95.105,0,0,92.771,98.672,99.824,103.364,98.048,100.526,98.884,94.837,96.849,92.807,95.689,104.701,108.626,81.237,75.744,90.722,82.14,87.447,97.703,102.181,100.21,97.92,105.17,105.347,98.809,95.198,99.629,94.358,94.271,100.792,100.656,101.281,94.084,96.791,94.567,93.514,96.922,92.432,89.857,97.943,96.377,95.126,104.191,123.913,84.597,88.542,100.78,102.137,100,95.405,96.894,96.923,96.227,101.397,100.018,119.946,100.582,97.542,103.484,103.761,115.091,100.543,96.682,98.06,97.105,96.41,93.775,93.422,99.832,99.654,100.07,99.323,95.405,96.293,91.981,91.643,91.534,100,97.475,90.924,90.924,100.006,98.823,101.09,97.892,99.466,102.862,94.577,103.173,106.31,91.439,98.24,101.525,97.499,97.164,98.23,95.77,95.615
